MidPoint,Noise mV,Average Temperature (°C),PZEM Voltage,PZEM Current,PZEM Power,PZEM Energy,PZEM Frequency,PZEM PF
549,21,31.28,232.6,0.04,8.6,0.058,49.9,0.97
549,21,31.28,232.6,0.04,8.6,0.058,49.9,0.97
549,21,18.45,232.6,0.04,8.6,0.058,49.9,0.97
549,21,40.69,232.6,0.04,8.6,0.058,49.9,0.97
549,21,39.71,232.6,0.04,8.6,0.058,49.9,0.97
549,21,39.71,232.4,0.04,8.6,0.058,49.9,0.97
549,21,39.71,232.4,0.04,8.6,0.058,49.9,0.97
549,21,39.71,232.4,0.04,8.6,0.058,49.9,0.97
549,21,39.71,232.4,0.04,8.6,0.058,49.9,0.97
549,21,39.71,232.4,0.04,8.6,0.058,50,0.97
549,21,39.71,232.4,0.04,8.6,0.058,50,0.97
549,21,31.16,232.4,0.04,8.6,0.058,50,0.97
549,21,41.54,232.4,0.04,8.6,0.058,50,0.97
549,21,41.54,232.2,0.04,8.6,0.058,50,0.97
549,21,41.54,232.2,0.04,8.6,0.058,50,0.97
549,21,41.54,232.2,0.04,8.6,0.058,50,0.97
549,21,41.54,232.2,0.04,8.6,0.058,50,0.97
549,21,41.54,232.2,0.04,8.6,0.058,50,0.97
549,21,41.54,232.2,0.04,8.6,0.058,50,0.97
549,21,40.57,232.2,0.04,8.6,0.058,50,0.97
549,21,29.81,232.2,0.04,8.6,0.058,50,0.97
549,21,29.81,232.5,0.04,8.6,0.058,50,0.97
549,21,29.81,232.5,0.04,8.6,0.058,50,0.97
549,21,29.81,232.5,0.04,8.6,0.058,50,0.97
549,21,29.81,232.5,0.04,8.6,0.058,50,0.97
549,21,29.81,232.5,0.04,8.6,0.058,50,0.97
549,21,29.81,232.5,0.04,8.6,0.058,50,0.97
549,21,41.06,232.5,0.04,8.6,0.058,50,0.97
549,21,20.53,232.5,0.04,8.6,0.058,50,0.97
549,21,34.21,232.5,0.04,8.6,0.058,50,0.97
549,21,34.21,232.1,0.04,8.6,0.058,50,0.97
549,21,34.21,232.1,0.04,8.6,0.058,50,0.97
549,21,34.21,232.1,0.04,8.6,0.058,50,0.97
549,21,34.21,232.1,0.04,8.6,0.058,50,0.97
549,21,34.21,232.1,0.04,8.6,0.058,50,0.97
549,21,34.21,232.1,0.04,8.6,0.058,50,0.98
549,21,39.83,232.1,0.04,8.6,0.058,50,0.98
549,21,38.86,232.1,0.04,8.6,0.058,50,0.98
549,21,25.42,232.1,0.04,8.6,0.058,50,0.98
549,21,25.42,232.5,0.04,8.6,0.058,50,0.98
549,21,25.42,232.5,0.04,8.6,0.058,50,0.98
549,21,25.42,232.5,0.04,8.6,0.058,50,0.98
549,21,25.42,232.5,0.04,8.6,0.058,50,0.98
549,21,25.42,232.5,0.04,8.6,0.058,50,0.98
549,21,25.42,232.5,0.04,8.6,0.058,50,0.97
549,21,41.54,232.5,0.04,8.6,0.058,50,0.97
549,21,28.35,232.5,0.04,8.6,0.058,50,0.97
549,21,28.35,232.1,0.04,8.6,0.058,50,0.97
549,21,28.35,232.1,0.04,8.6,0.058,50,0.97
549,21,28.35,232.1,0.04,8.6,0.058,50,0.97
549,21,28.35,232.1,0.04,8.6,0.058,50,0.97
549,21,28.35,232.1,0.04,8.6,0.058,49.9,0.97
549,21,28.35,232.1,0.04,8.6,0.058,49.9,0.98
549,21,41.54,232.1,0.04,8.6,0.058,49.9,0.98
549,21,30.18,232.1,0.04,8.6,0.058,49.9,0.98
549,21,38,232.1,0.04,8.6,0.058,49.9,0.98
549,21,38,232.1,0.04,8.6,0.058,49.9,0.98
549,21,38,232.1,0.04,8.6,0.058,49.9,0.98
549,21,38,232.1,0.04,8.6,0.058,49.9,0.98
549,21,38,232.1,0.04,8.6,0.058,49.9,0.98
549,21,38,232.1,0.04,8.6,0.058,49.9,0.98
549,21,38,232.1,0.04,8.6,0.058,49.9,0.98
549,21,40.69,232.1,0.04,8.6,0.058,49.9,0.98
549,21,41.67,232.1,0.04,8.6,0.058,49.9,0.98
549,21,39.83,232.1,0.04,8.6,0.058,49.9,0.98
549,21,39.83,232.2,0.04,8.6,0.058,49.9,0.98
549,21,39.83,232.2,0.04,8.6,0.058,49.9,0.98
549,21,39.83,232.2,0.04,8.6,0.058,49.9,0.98
549,21,39.83,232.2,0.04,8.6,0.058,49.9,0.98
549,21,39.83,232.2,0.04,8.6,0.058,49.9,0.98
549,21,39.83,232.2,0.04,8.6,0.058,49.9,0.97
549,21,33.72,232.2,0.04,8.6,0.058,49.9,0.97
